Name,CategoryId,PropertyIndex,Type,IsCanonical
System.DeviceInterface.Hid.UsageId,{cbf38310-4a17-4310-a1eb-247f0b67593b},3,UInt16,True
System.DeviceInterface.Hid.IsReadOnly,{cbf38310-4a17-4310-a1eb-247f0b67593b},4,Boolean,True
System.DeviceInterface.Hid.VendorId,{cbf38310-4a17-4310-a1eb-247f0b67593b},5,UInt16,True
System.DeviceInterface.Hid.ProductId,{cbf38310-4a17-4310-a1eb-247f0b67593b},6,UInt16,True
System.DeviceInterface.Hid.VersionNumber,{cbf38310-4a17-4310-a1eb-247f0b67593b},7,UInt16,True
System.DeviceInterface.Proximity.SupportsNfc,{fb3842cd-9e2a-4f83-8fcc-4b0761139ae9},2,Boolean,True
System.DeviceInterface.Serial.UsbVendorId,{4c6bf15c-4c03-4aac-91f5-64c0f852bcf4},2,UInt16,True
System.DeviceInterface.Serial.UsbProductId,{4c6bf15c-4c03-4aac-91f5-64c0f852bcf4},3,UInt16,True
System.DeviceInterface.Serial.PortName,{4c6bf15c-4c03-4aac-91f5-64c0f852bcf4},4,String,True
System.DeviceInterface.WinUsb.UsbVendorId,{95e127b5-79cc-4e83-9c9e-8422187b3e0e},2,UInt16,True
System.DeviceInterface.WinUsb.UsbProductId,{95e127b5-79cc-4e83-9c9e-8422187b3e0e},3,UInt16,True
System.DeviceInterface.WinUsb.UsbClass,{95e127b5-79cc-4e83-9c9e-8422187b3e0e},4,Byte,True
System.DeviceInterface.WinUsb.UsbSubClass,{95e127b5-79cc-4e83-9c9e-8422187b3e0e},5,Byte,True
System.DeviceInterface.WinUsb.UsbProtocol,{95e127b5-79cc-4e83-9c9e-8422187b3e0e},6,Byte,True
System.DeviceInterface.WinUsb.DeviceInterfaceClasses,{95e127b5-79cc-4e83-9c9e-8422187b3e0e},7,StringList,True
System.Devices.DriverDate,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},2,FileTime,False
System.Devices.DriverVersion,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},3,String,False
System.Devices.DriverDescription,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},4,String,False
System.Devices.DriverInfPath,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},5,String,False
System.Devices.DriverInfSection,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},6,String,False
System.Devices.DriverInfSectionExt,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},7,String,False
System.Devices.MatchingDeviceId,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},8,String,False
System.Devices.DriverProvider,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},9,String,False
System.Devices.DriverPropertyPageProvider,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},10,String,False
System.Devices.DriverCoInstallers,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},11,StringList,False
System.Devices.ResourcePickerTags,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},12,String,False
System.Devices.ResourcePickerExceptions,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},13,String,False
System.Devices.DriverRank,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},14,UInt32,False
System.Devices.DriverLogoLevel,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},15,UInt32,False
System.Devices.NotConnectedSound,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},17,Boolean,False
System.Devices.GenericDriverInstalled,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},18,Boolean,False
System.Devices.AdditionalSoftwareRequested,{a8b865dd-2e3d-4094-ad97-e593a70c75d6},19,Boolean,False
System.Devices.Reported,{80497100-8c73-48b9-aad9-ce387e19c56e},2,Boolean,False
System.Devices.Legacy,{80497100-8c73-48b9-aad9-ce387e19c56e},3,Boolean,False
System.Devices.Dnssd.ServiceName,{bf79c0ab-bb74-4cee-b070-470b5ae202ea},2,String,True
System.Devices.Dnssd.Domain,{bf79c0ab-bb74-4cee-b070-470b5ae202ea},3,String,True
System.Devices.Dnssd.InstanceName,{bf79c0ab-bb74-4cee-b070-470b5ae202ea},4,String,True
System.Devices.Dnssd.FullName,{bf79c0ab-bb74-4cee-b070-470b5ae202ea},5,String,True
System.Devices.Dnssd.TextAttributes,{bf79c0ab-bb74-4cee-b070-470b5ae202ea},6,StringList,True
System.Devices.Dnssd.HostName,{bf79c0ab-bb74-4cee-b070-470b5ae202ea},7,String,True
System.Devices.Dnssd.Weight,{bf79c0ab-bb74-4cee-b070-470b5ae202ea},8,UInt16,True
System.Devices.Dnssd.Priority,{bf79c0ab-bb74-4cee-b070-470b5ae202ea},9,UInt16,True
System.Devices.Dnssd.Ttl,{bf79c0ab-bb74-4cee-b070-470b5ae202ea},10,UInt32,True
System.Devices.Dnssd.NetworkAdapterId,{bf79c0ab-bb74-4cee-b070-470b5ae202ea},11,Guid,True
System.Devices.Dnssd.PortNumber,{bf79c0ab-bb74-4cee-b070-470b5ae202ea},12,UInt16,True
System.Hardware.Name,{5eaf3ef2-e0ca-4598-bf06-71ed1d9dd953},2,String,True
System.Hardware.Icon,{5eaf3ef2-e0ca-4598-bf06-71ed1d9dd953},3,String,True
System.Hardware.Manufacturer,{5eaf3ef2-e0ca-4598-bf06-71ed1d9dd953},6,String,True
System.Hardware.Model,{5eaf3ef2-e0ca-4598-bf06-71ed1d9dd953},7,String,True
System.Hardware.SerialNumber,{5eaf3ef2-e0ca-4598-bf06-71ed1d9dd953},8,String,True
